value,sdraiato
1963,0
1963,0
1965,0
1963,0
1963,0
1963,0
1964,0
1964,0
1963,0
1963,0
1962,0
1961,0
1961,0
0,0
1961,0
1961,0
1958,0
1962,0
1964,0
1963,0
1961,0
1963,0
1965,0
1962,0
1964,0
1962,0
1960,0
1961,0
1963,0
1962,0
1965,0
1961,0
1961,0
1962,0
1960,0
1959,0
1960,0
1958,0
1958,0
1958,0
1961,0
1959,0
1960,0
340,0
1958,0
1959,0
1956,0
1957,0
1956,0
1957,0
1959,0
1958,0
1960,0
1960,0
1961,0
1960,0
2810,0
1965,0
1958,0
1959,0
1962,0
1958,0
1961,0
1964,0
1964,0
1960,0
1960,0
1959,0
1957,0
1956,0
1954,0
1957,0
1953,0
1956,0
1953,0
1955,0
1958,0
1954,0
439,0
1959,0
1960,0
1961,0
1960,0
1961,0
1958,0
1958,0
1962,0
1959,0
1964,0
1962,0
1959,0
1962,0
1963,0
1963,0
1960,0
4080,0
1959,0
1959,0
0,0
1961,0
1871,0
1962,0
1957,0
1960,0
2221,0
1962,0
1962,0
1958,0
1960,0
1959,0
1961,0
1960,0
1959,0
4095,0
1957,0
1951,0
1953,0
1952,0
1959,0
1958,0
1700,0
1960,0
1962,0
1961,0
1960,0
1959,0
1957,0
1958,0
1957,0
1961,0
1956,0
1959,0
1954,0
1955,0
1958,0
1958,0
1956,0
1953,0
1955,0
1954,0
1957,0
1959,0
1984,0
1956,0
1960,0
2050,0
1963,0
1962,0
1961,0
1958,0
1957,0
1960,0
1957,0
1960,0
1957,0
1959,0
1958,0
1960,0
1960,0
1959,0
1958,0
1958,0
1958,0
1961,0
1956,0
1966,0
1960,0
1958,0
1955,0
1960,0
1957,0
1956,0
1959,0
1959,0
1957,0
1957,0
1957,0
1960,0
1958,0
1959,0
1957,0
1957,0
1954,0
1957,0
1957,0
1956,0
1953,0
1956,0
1954,0
3058,0
1958,0
1958,0
1961,0
1963,0
1960,0
1961,0
1764,0
1958,0
1961,0
1391,0
1951,0
1660,0
1951,0
1953,0
4095,0
1956,0
0,0
1956,0
1955,0
1960,0
1959,0
1958,0
1956,0
1955,0
1957,0
1955,0
1954,0
1957,0
1956,0
1956,0
1959,0
1957,0
1962,0
1960,0
1959,0
1961,0
1958,0
0,0
0,0
1955,0
1957,0
1955,0
1952,0
1959,0
4095,0
1951,0
1955,0
649,0
1958,0
3273,0
1961,0
1961,0
1958,0
1955,0
0,0
1955,0
1957,0
1956,0
1957,0
1957,0
1957,0
1958,0
1959,0
1959,0
1959,0
1957,0
2052,0
1959,0
1959,0
1962,0
1957,0
1957,0
1959,0
1959,0
1953,0
1953,0
1953,0
1953,0
1955,0
1956,0
1955,0
1957,0
1960,0
1955,0
1955,0
1957,0
1960,0
1955,0
1955,0
2003,0
1956,0
1961,0
1954,0
1958,0
1962,0
1960,0
1962,0
1959,0
1959,0
1958,0
1961,0
1957,0
1961,0
1956,0
1959,0
1958,0
1960,0
1960,0
1956,0
1956,0
1959,0
1958,0
1958,0
1957,0
1956,0
1956,0
1954,0
1956,0
1884,0
1956,0
1956,0
1956,0
1956,0
1960,0
1958,0
1954,0
1960,0
1956,0
1957,0
1955,0
1957,0
1960,0
1959,0
1958,0
1955,0
1961,0
1956,0
1957,0
1956,0
1961,0
1959,0
1961,0
1961,0
1959,0
1958,0
1958,0
1956,0
1962,0
1961,0
1957,0
1957,0
1956,0
1955,0
2873,0
1958,0
1960,0
1960,0
1958,0
1955,0
1953,0
1954,0
1956,0
1962,0
1956,0
1955,0
1953,0
1954,0
1956,0
1962,0
1958,0
1957,0
1957,0
1955,0
1956,0
1958,0
1958,0
1954,0
1957,0
0,0
4095,0
1952,0
1954,0
1955,0
3041,0
1969,0
1958,0
1957,0
1955,0
1959,0
1967,0
1958,0
1959,0
1955,0
1953,0
1955,0
1957,0
1958,0
1958,0
1959,0
1956,0
1959,0
1960,0
1953,0
1953,0
1957,0
1954,0
1960,0
1959,0
1961,0
1959,0
1959,0
1960,0
1957,0
1955,0
1956,0
4095,0
1951,0
1963,0
1407,0
1953,0
1955,0
1956,0
1961,0
1960,0
1959,0
1960,0
1962,0
1960,0
1957,0
1957,0
1954,0
1951,0
1956,0
1957,0
1956,0
1960,0
1962,0
1963,0
1962,0
1962,0
1960,0
1957,0
1951,0
1955,0
1958,0
1958,0
1963,0
1959,0
1959,0
1951,0
1957,0
1956,0
1957,0
1961,0
1961,0
1960,0
1956,0
1950,0
1954,0
1954,0
1957,0
1960,0
1961,0
1961,0
1961,0
1952,0
1954,0
1954,0
1953,0
1958,0
1962,0
1958,0
1959,0
1959,0
1957,0
1956,0
1955,0
1955,0
1955,0
1954,0
1959,0
1954,0
1955,0
1961,0
1957,0
1961,0
1963,0
1962,0
1958,0
1959,0
1957,0
1954,0
1980,0
1954,0
1955,0
1955,0
1956,0
1952,0
1958,0
1959,0
1959,0
1952,0
1955,0
1958,0
1958,0
