value,sdraiato
2755,0
2432,0
2749,0
3184,0
2605,0
2291,0
2635,0
3024,0
3101,0
2624,0
2273,0
2381,0
2875,0
3121,0
2938,0
2622,0
2295,0
2238,0
2378,0
2672,0
2917,0
3031,0
3120,0
3141,0
2950,0
2786,0
2676,0
2544,0
2425,0
2258,0
2279,0
2192,0
2207,0
2227,0
2349,0
2475,0
2711,0
2854,0
3018,0
3118,0
3071,0
3030,0
2942,0
2782,0
2689,0
2581,0
2448,0
2400,0
2407,0
2500,0
2469,0
2483,0
2495,0
2446,0
2446,0
2442,0
2320,0
2285,0
2179,0
2192,0
2187,0
2161,0
2192,0
2183,0
2207,0
2176,0
2167,0
2353,0
2627,0
2903,0
3044,0
3046,0
2847,0
2654,0
2486,0
2295,0
2171,0
2205,0
2368,0
2597,0
2944,0
3011,0
2937,0
2717,0
2398,0
2205,0
2166,0
2427,0
2691,0
3006,0
2954,0
2386,0
2182,0
2428,0
2877,0
3047,0
2727,0
2210,0
2271,0
2761,0
3026,0
2711,0
2245,0
2161,0
2491,0
2907,0
3005,0
2896,0
2433,0
2143,0
2329,0
2795,0
3024,0
2903,0
2449,0
2187,0
2405,0
2896,0
2997,0
2623,0
2181,0
2258,0
2653,0
2985,0
2946,0
2515,0
2179,0
2589,0
3101,0
2655,0
2241,0
2240,0
2798,0
3013,0
2631,0
2161,0
2434,0
2967,0
2906,0
2489,0
2159,0
2387,0
2831,0
3007,0
2991,0
2672,0
2358,0
2172,0
2273,0
2509,0
2842,0
3050,0
2726,0
2181,0
2159,0
2502,0
2950,0
2979,0
2735,0
2293,0
2160,0
2372,0
2853,0
2962,0
2654,0
2287,0
2173,0
2197,0
2407,0
2665,0
2906,0
2970,0
3011,0
3023,0
2975,0
2880,0
2785,0
2736,0
2669,0
2714,0
2968,0
3055,0
2985,0
2688,0
2366,0
2163,0
2165,0
2239,0
2471,0
2719,0
2851,0
2987,0
3038,0
2992,0
2974,0
2866,0
2711,0
2700,0
2743,0
2863,0
2906,0
2928,0
2955,0
2960,0
2943,0
2917,0
2655,0
2358,0
2170,0
2164,0
2180,0
2217,0
2304,0
2450,0
2498,0
2558,0
2309,0
2228,0
2197,0
2167,0
2265,0
2491,0
2767,0
2950,0
3023,0
2963,0
2737,0
2421,0
2217,0
2174,0
2160,0
2241,0
2391,0
2581,0
2818,0
2987,0
2946,0
2649,0
2287,0
2158,0
2155,0
2222,0
2544,0
2899,0
3023,0
2768,0
2464,0
2170,0
2135,0
2330,0
2590,0
2981,0
3023,0
2979,0
2701,0
2411,0
2186,0
2142,0
2233,0
2406,0
2665,0
2871,0
2966,0
3038,0
3026,0
2918,0
2752,0
2595,0
2293,0
2194,0
2150,0
2173,0
2413,0
2624,0
2862,0
2966,0
2987,0
2929,0
2706,0
2477,0
2213,0
2159,0
2169,0
2322,0
2469,0
2706,0
2901,0
2991,0
2985,0
2853,0
2623,0
2330,0
2202,0
2177,0
2183,0
2144,0
2143,0
2203,0
2143,0
2154,0
2187,0
2167,0
2161,0
2165,0
2145,0
2274,0
2555,0
2755,0
2991,0
3017,0
2909,0
2874,0
2845,0
2847,0
2810,0
2729,0
2640,0
2391,0
2205,0
2151,0
2241,0
2416,0
2517,0
2672,0
2735,0
2740,0
2733,0
2655,0
2559,0
2651,0
2754,0
2960,0
2992,0
2895,0
2686,0
2559,0
2390,0
2199,0
2192,0
2149,0
2160,0
2176,0
2240,0
2190,0
2221,0
2210,0
2192,0
2209,0
2208,0
2272,0
2430,0
2732,0
2992,0
2906,0
2540,0
2187,0
2167,0
2327,0
2613,0
2879,0
3031,0
2795,0
2448,0
2221,0
2143,0
2247,0
2624,0
2851,0
3011,0
2970,0
2756,0
2439,0
2164,0
2250,0
2647,0
2992,0
2947,0
2559,0
2271,0
2133,0
2196,0
2385,0
2768,0
3029,0
2899,0
2611,0
2260,0
2172,0
2166,0
2245,0
2544,0
2704,0
2896,0
3007,0
2883,0
2501,0
2205,0
2176,0
2338,0
2677,0
2911,0
2957,0
2957,0
2736,0
2559,0
2467,0
2224,0
2156,0
2352,0
2726,0
2944,0
3005,0
2857,0
2550,0
2343,0
2134,0
2174,0
2390,0
2741,0
